Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,05/01/2020,05/31/2020,By Month,2020,5,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Total - All Places of Death,40,671,42,19,0,63,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, inpatient",30,161,24,16,0,38,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, outpatient or emergency room",,45,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Decedent's home,,185,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Hospice facility,,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Nursing home/long term care facility,,164,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Other,0,44,0,0,0,0,
06/28/2023,06/01/2020,06/30/2020,By Month,2020,6,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Total - All Places of Death,50,740,66,26,0,90,
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, inpatient",29,208,49,19,0,59,
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, outpatient or emergency room",,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Decedent's home,,205,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Hospice facility,,75,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Nursing home/long term care facility,13,162,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Other,0,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,07/01/2020,07/31/2020,By Month,2020,7,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Total - All Places of Death,49,785,64,19,,95,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, inpatient",30,228,44,15,0,59,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, outpatient or emergency room",0,47,0,0,0,0,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Decedent's home,,192,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Hospice facility,,74,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Nursing home/long term care facility,17,184,10,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Other,0,59,0,0,0,0,
06/28/2023,08/01/2020,08/31/2020,By Month,2020,8,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Total - All Places of Death,116,803,83,55,0,144,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, inpatient",62,229,61,43,0,80,
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, outpatient or emergency room",,48,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Decedent's home,,175,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Hospice facility,,84,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Nursing home/long term care facility,37,230,11,,0,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Other,0,35,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,09/01/2020,09/30/2020,By Month,2020,9,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Total - All Places of Death,265,"1,006",150,107,0,308,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, inpatient",130,309,99,76,0,153,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, outpatient or emergency room",,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Decedent's home,,211,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Hospice facility,,92,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Nursing home/long term care facility,116,313,34,25,0,125,
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Other,,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,10/01/2020,10/31/2020,By Month,2020,10,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Total - All Places of Death,701,"1,457",315,274,,742,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, inpatient",313,483,224,198,,339,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, outpatient or emergency room",11,53,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Decedent's home,23,244,10,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Hospice facility,15,109,12,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Nursing home/long term care facility,333,523,59,54,0,338,
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Other,,45,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,11/01/2020,11/30/2020,By Month,2020,11,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Total - All Places of Death,427,"1,082",238,189,0,476,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, inpatient",241,401,188,163,0,266,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, outpatient or emergency room",11,58,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Decedent's home,21,211,,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Hospice facility,17,95,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Nursing home/long term care facility,135,291,24,13,0,146,
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Other,,26,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,12/01/2020,12/31/2020,By Month,2020,12,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Total - All Places of Death,188,906,143,98,,233,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, inpatient",115,317,108,78,0,145,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, outpatient or emergency room",,50,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Decedent's home,15,224,10,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Hospice facility,11,90,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Nursing home/long term care facility,42,200,15,,0,48,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Other,,25,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2021,01/31/2021,By Month,2021,1,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Total - All Places of Death,70,712,77,36,0,111,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, inpatient",40,203,56,28,0,68,
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, outpatient or emergency room",,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Decedent's home,,189,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,02/01/2021,02/28/2021,By Month,2021,2,South Dakota,Hospice facility,,75,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
